2021年10月21日16时56分56秒	JJparents-9  执行步骤:获取进入场
2021年10月21日16时56分56秒	JJparents-9  执行步骤:更新昵称
2021年10月21日16时56分56秒	JJparents-9  执行步骤:更新金币数
2021年10月21日16时56分55秒	JJparents-11  执行步骤:点开报名界面
2021年10月21日16时56分55秒	JJparents-9  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时56分55秒	JJparents-11  执行步骤:获取进入场
2021年10月21日16时56分55秒	JJparents-9  执行步骤:询问是否继续打二麻
2021年10月21日16时56分55秒	JJparents-11  执行步骤:更新昵称
2021年10月21日16时56分55秒	JJparents-11  执行步骤:更新金币数
2021年10月21日16时56分55秒	JJparents-11  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时56分55秒	JJparents-11  执行步骤:询问是否继续打二麻
2021年10月21日16时56分54秒	JJparents-6  执行步骤:点开报名界面
2021年10月21日16时56分54秒	JJparents-6  执行步骤:获取进入场
2021年10月21日16时56分54秒	JJparents-6  执行步骤:更新昵称
2021年10月21日16时56分54秒	JJparents-6  执行步骤:更新金币数
2021年10月21日16时56分53秒	JJparents-2  执行步骤:关闭模拟器
2021年10月21日16时56分53秒	JJparents-5  执行步骤:登录JJ斗地主
2021年10月21日16时56分53秒	JJparents-6  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时56分53秒	JJparents-6  执行步骤:询问是否继续打二麻
2021年10月21日16时56分52秒	JJparents-9  执行步骤:返回自由桌界面
2021年10月21日16时56分52秒	JJparents-11  执行步骤:返回自由桌界面
2021年10月21日16时56分50秒	JJparents-6  执行步骤:返回自由桌界面
2021年10月21日16时56分47秒	JJparents-1  执行步骤:等待报名
2021年10月21日16时56分45秒	JJparents-1  执行步骤:点开报名界面
2021年10月21日16时56分45秒	JJparents-1  执行步骤:获取进入场
2021年10月21日16时56分45秒	JJparents-1  执行步骤:更新昵称
2021年10月21日16时56分45秒	JJparents-1  执行步骤:更新金币数
2021年10月21日16时56分45秒	JJparents-1  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时56分45秒	JJparents-1  执行步骤:询问是否继续打二麻
2021年10月21日16时56分41秒	JJparents-1  执行步骤:返回自由桌界面
2021年10月21日16时56分17秒	JJparents-5  执行步骤:运行JJ斗地主app
2021年10月21日16时56分17秒	JJparents-5  执行步骤:绑定模拟器
2021年10月21日16时56分17秒	绑定模拟器 name:JJparents-5 hwnd:3016806
2021年10月21日16时56分12秒	JJparents-5  执行步骤:清除模拟器数据
2021年10月21日16时56分8秒	JJparents-11  执行步骤:进入游戏获取对局ID
2021年10月21日16时56分6秒	JJparents-1  执行步骤:进入游戏获取对局ID
2021年10月21日16时56分6秒	JJparents-6  执行步骤:进入游戏获取对局ID
2021年10月21日16时56分6秒	JJparents-9  执行步骤:进入游戏获取对局ID
2021年10月21日16时56分1秒	JJparents-5  执行步骤:打开模拟器
2021年10月21日16时55分59秒	JJparents-6  执行步骤:3秒后开始报名
2021年10月21日16时55分59秒	JJparents-1  执行步骤:3秒后开始报名
2021年10月21日16时55分58秒	JJparents-11  执行步骤:3秒后开始报名
2021年10月21日16时55分58秒	JJparents-9  执行步骤:3秒后开始报名
2021年10月21日16时55分58秒	JJparents-6  执行步骤:等待报名
2021年10月21日16时55分56秒	JJparents-6  执行步骤:点开报名界面
2021年10月21日16时55分56秒	JJparents-6  执行步骤:获取进入场
2021年10月21日16时55分56秒	JJparents-6  执行步骤:更新昵称
2021年10月21日16时55分56秒	JJparents-6  执行步骤:更新金币数
2021年10月21日16时55分56秒	JJparents-5  执行步骤:关闭模拟器
2021年10月21日16时55分56秒	JJparents-15  执行步骤:登录JJ斗地主
2021年10月21日16时55分33秒	JJparents-6  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时55分32秒	JJparents-6  执行步骤:登录结果:登录成功
2021年10月21日16时54分54秒	JJparents-15  执行步骤:运行JJ斗地主app
2021年10月21日16时54分54秒	JJparents-15  执行步骤:绑定模拟器
2021年10月21日16时54分54秒	绑定模拟器 name:JJparents-15 hwnd:5114170
2021年10月21日16时54分43秒	JJparents-6  执行步骤:登录失败
2021年10月21日16时54分43秒	JJparents-6  执行步骤:登录结果:账号或密码错误
2021年10月21日16时54分40秒	JJparents-15  执行步骤:清除模拟器数据
2021年10月21日16时54分30秒	JJparents-15  执行步骤:打开模拟器
2021年10月21日16时54分30秒	JJparents-15  执行步骤:关闭模拟器
2021年10月21日16时54分30秒	JJparents-6  执行步骤:登录JJ斗地主
2021年10月21日16时54分3秒	JJparents-4  执行步骤:修改密码
2021年10月21日16时53分47秒	JJparents-6  执行步骤:运行JJ斗地主app
2021年10月21日16时53分47秒	JJparents-6  执行步骤:绑定模拟器
2021年10月21日16时53分47秒	绑定模拟器 name:JJparents-6 hwnd:4000782
2021年10月21日16时53分45秒	JJparents-4  执行步骤:登录结果:登录成功
2021年10月21日16时53分39秒	JJparents-6  执行步骤:清除模拟器数据
2021年10月21日16时53分28秒	JJparents-6  执行步骤:打开模拟器
2021年10月21日16时53分23秒	JJparents-6  执行步骤:关闭模拟器
2021年10月21日16时53分23秒	JJparents-4  执行步骤:登录JJ斗地主
2021年10月21日16时53分21秒	JJparents-9  执行步骤:等待报名
2021年10月21日16时53分19秒	JJparents-9  执行步骤:点开报名界面
2021年10月21日16时53分19秒	JJparents-9  执行步骤:获取进入场
2021年10月21日16时53分19秒	JJparents-9  执行步骤:更新昵称
2021年10月21日16时53分19秒	JJparents-9  执行步骤:更新金币数
2021年10月21日16时53分4秒	JJparents-9  执行步骤:进入极速二麻自由桌界面
2021年10月21日16时52分46秒	JJparents-4  执行步骤:运行JJ斗地主app
2021年10月21日16时52分46秒	JJparents-4  执行步骤:绑定模拟器
2021年10月21日16时52分46秒	绑定模拟器 name:JJparents-4 hwnd:5769500
2021年10月21日16时52分41秒	JJparents-9  执行步骤:登录结果:登录成功
2021年10月21日16时52分40秒	JJparents-4  执行步骤:清除模拟器数据
2021年10月21日16时52分37秒	JJparents-11  执行步骤:等待报名
2021年10月21日16时52分35秒	JJparents-11  执行步骤:点开报名界面
